"ID","sex","repro_status","context","month","n_leader","n_follower","n_front","n_back","mean_poi","mean_poi_position"
"QUERIDA","F","AFD","Defense",9,1,11,7,4,0.436363636363636,"Front"
"QUERIDA","F","AFD","Feeding",9,0,15,12,3,0.393333333333333,"Front"
"QUERIDA","F","AFD","Defense",10,0,3,3,0,0.2,"Front"
"QUERIDA","F","AFD","Feeding",10,0,6,5,1,0.216666666666667,"Front"
"SOLA","F","AFC","Defense",9,0,12,0,12,0.908333333333333,"Back"
"SOLA","F","AFC","Feeding",9,0,15,0,15,0.926666666666667,"Back"
"SOLA","F","AFC","Defense",10,0,3,0,3,0.966666666666667,"Back"
"SOLA","F","AFC","Feeding",10,0,6,0,6,0.9,"Back"
"TERE","F","AFD","Defense",9,0,12,9,3,0.433333333333333,"Front"
"TERE","F","AFD","Feeding",9,0,15,13,2,0.373333333333333,"Front"
"TERE","F","AFD","Defense",10,0,3,1,2,0.5,"Front"
"TERE","F","AFD","Feeding",10,1,5,5,0,0.22,"Front"
"WOW","F","AFL","Defense",9,0,12,7,5,0.433333333333333,"Front"
"WOW","F","AFL","Feeding",9,2,13,9,4,0.384615384615385,"Front"
"WOW","F","AFL","Defense",10,0,3,2,1,0.466666666666667,"Front"
"WOW","F","AFL","Feeding",10,0,6,3,3,0.416666666666667,"Front"
